name,rating,user_ratings_total,address,price_level,url
Shimbashi Japanese Soba & Sake Bar Restaurant,4.6,163,"131 Smith St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=9737821408550145064
Oneyada,4.6,67,"239 Victoria St, Abbotsford VIC 3067, Australia",,https://maps.google.com/?cid=2875650996796479804
iL Cantuccio Restaurant,4.6,384,"209 Lygon St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=4190198698410764429
Da Guido La Pasta Melbourne,4.6,454,"128-130 Lygon St, Carlton VIC 3053, Australia",2,https://maps.google.com/?cid=12317629691707708834
Grub Fitzroy (grub food van),4.6,654,"87-89 Moor St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=8148755377672008609
Slowpoke Espresso,4.6,226,"157 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=10891911980792089208
Little Hop,4.6,255,"Fitzroy, 277 Brunswick St, Melbourne VIC 3065, Australia",,https://maps.google.com/?cid=10409436952697426218
Noi Thai,4.6,129,"205 Smith St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=9134695562088798191
Libertine & Co.,4.6,70,"141 Johnston St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=2741769299739471140
New Jaffa,4.6,75,"32 Stanley St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=8973341785326479614
